,Unnamed: 0,Gene,n_cells,highly_variable,means,dispersions,dispersions_norm
3,3,A2M,471,True,0.07793311004969468,2.261809733341472,1.5925356
4,4,A2M-AS1,213,True,0.029654888169104696,2.163001331751878,1.239412
32,32,AASDH,2140,True,0.21579884743202657,2.052756759254057,0.8454174
41,41,ABCA1,988,True,0.1206521703163783,2.033437269444467,0.7763729
50,50,ABCA5,1478,True,0.18963567223710714,2.2282141685261796,1.472471
53,53,ABCA8,9,True,0.001258053941262442,2.0394636552554433,0.79791015
54,54,ABCA9,128,True,0.01589400392462271,2.038988109834059,0.79621065
56,56,ABCB1,806,True,0.10890789655323059,2.0853985503866665,0.9620733
76,76,ABCC6P1,8,True,0.0009412900946482546,2.1647243724361807,1.2455697
79,79,ABCC9,46,True,0.005739560972810315,2.195247323820091,1.3546534
81,81,ABCD2,689,True,0.12104154787864647,2.344396703146785,1.8876867
88,88,ABCG1,433,True,0.055625960417067,2.0652421494950417,0.89003795
96,96,ABHD11-AS1,11,True,0.0014794897858937284,2.196431315681237,1.3588847
99,99,ABHD13,2122,True,0.22738634276349834,2.0388522871875865,0.7957252
113,113,ABHD5,1925,True,0.1977241997613835,2.0116924310517112,0.69866073
117,117,ABI2,2640,True,0.2683636704943059,2.043162947834458,0.81113076
118,118,ABI3,608,True,0.07863083148480067,2.03763858630095,0.7913877
122,122,ABLIM1,5005,True,0.6655775763723927,2.3679607902190156,1.0564698
123,123,ABLIM2,9,True,0.0015021682142592342,2.115330280945767,1.069044
145,145,ACADSB,1857,True,0.202029654973591,2.1341882442328486,1.1364391
147,147,ACAN,7,True,0.0010537015684634356,2.022338573242362,0.73670816
173,173,ACKR4,127,True,0.017223087548404438,2.203058940559518,1.3825706
205,205,ACSBG2,37,True,0.004052520499213374,2.050525041239288,0.8374416
212,212,ACSL6,623,True,0.1046022360616786,2.243988940692258,1.5288472
260,260,ACTRT3,117,True,0.009980404797701688,2.1323071700456597,1.1297164
261,261,ACVR1,385,True,0.047053162900113917,2.054655158888862,0.8522019
263,263,ACVR1C,179,True,0.03130817693922585,2.452101013507047,2.2726028
264,264,ACVR2A,744,True,0.10053995183059514,2.199579113205915,1.3701344
269,269,ACY3,628,True,0.09648035575992851,2.2928701201541655,1.7035398
279,279,ADAM12,123,True,0.017570797410513317,2.26834503767418,1.6158916
283,283,ADAM19,684,True,0.09585300896494714,2.1175174514381907,1.0768605
287,287,ADAM20P1,20,True,0.0026037221025359005,2.1118629826333,1.0566525
288,288,ADAM21,14,True,0.001864567246192278,2.247239810183372,1.5404652
291,291,ADAM23,58,True,0.012157561168243717,2.313095370426372,1.7758213
305,305,ADAMTS1,661,True,0.089625963767319,2.36247290383323,1.9522879
316,316,ADAMTS2,272,True,0.031223888521873272,2.039021163158128,0.7963288
333,333,ADAMTSL5,78,True,0.008240350643102367,2.078497924634063,0.9374117
339,339,ADARB2-AS1,13,True,0.0015498961687825646,2.0180395584649693,0.72134423
